Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Estimates Start After
Albania,Volume of imports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2022 Notes: Although quarterly trade data from Bank of Albania is available in BPM6, monthly goods export and import data from INSTAT is provided in BPM5. Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Albanian lek Data last updated: 09/2023",0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,-9.901,28.907,38.743,-3.432,23.272,11.868,8.409,10.704,8.434,5.36,18.95,3.567,-2.225,-9.36,3.639,-7.604,-0.612,5.418,0.07,8.264,6.032,5.766,4.719,-19.547,2022
Algeria,Volume of imports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2022 Base year: 2005 Methodology used to derive volumes: Deflation by survey-based price indexes Chain-weighted: Yes, from 2005 Oil coverage: Hydrocarbons, related to the oil and gas sector Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Algerian dinar Data last updated: 09/2023",5.047,--,16.3,-1.7,6.2,5.7,-22,-28.7,3.4,16.8,-9,-17.9,4.6,-6.7,6.1,2,-13.3,2.4,6.5,1.8,7.6,11.2,23.2,-2.911,21.906,6.465,0.444,24.57,37.277,3.624,-0.038,5.998,7.322,7.664,9.298,-6.07,-1.236,-0.82,-1.603,-9.688,-18.987,2022
Andorra,Volume of imports of goods and services,Percent change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Volume of imports of goods and services,Percent change,,"Source: Central Bank. National Bank of Angola Latest actual data: 2022 Base year: 2005 Methodology used to derive volumes: Explicit volume numbers on exports are used (e.g. barrels exported). Import volumes are derived using an estimated unit value index. Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Secondary or refined products; Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Angolan kwanza Data last updated: 09/2023",-39,17.3,1.7,-2.7,2.2,-9.4,-6.5,-1.5,26.9,-22,-15.8,-3.886,21.141,-19.125,-26.769,27.968,27.764,8.432,-5.44,26.806,3.965,13.854,-6.072,13.358,9.402,36.983,1.881,48.06,46.135,6.621,-21.246,10.894,7.342,8.327,10.434,-19.254,-30.495,5.73,-11.205,-11.388,-32.735,2022
Antigua and Barbuda,Volume of imports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2022 Notes: On account of a methodological change to the compilation of balance of payments statistics, data for BOP series before 2014 have been removed. Base year: 2006. 2014-2020 Compiled under BPM6 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products Primary domestic currency: Eastern Caribbean dollar Data last updated: 08/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.315,8.813,1.097,9.643,4.823,-34.705,2022
Argentina,Volume of imports of goods and services,Percent change,,"Source: National Statistics Office Latest actual data: 2022 Base year: 1996 Methodology used to derive volumes: Weighted average of volume changes Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Excluded items in trade: In transit; Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Argentine peso Data last updated: 09/2023",41.493,-8.239,-42.58,-6.924,4.705,-13.038,18.523,11.422,-9.204,-16.419,-0.69,75.576,66.462,13.423,26.7,-11.484,19.483,29.985,9.894,-15.929,-2.322,-16.587,-53.558,48.953,51.05,18.243,12.871,22.147,14.525,-23.812,39.539,21.71,-5.815,3.576,-10.942,2.717,3.499,14.346,-6.082,-20.997,-10.411,2022
Armenia,Volume of imports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2022 Base year: 2016 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Not applicable Chain-weighted: No Trade System: General trade Excluded items in trade: Other; Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Armenian dram Data last updated: 09/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,19.035,12.711,12.186,-8.59,4.538,13.662,11.923,20.251,5.03,18.179,12.114,35.445,17.242,-16.39,4.385,-1.904,5.31,9.641,2.964,-10.149,6.095,22.43,14.097,14.026,-31.139,2022
Aruba,Volume of imports of goods and services,Percent change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Volume of imports of goods and services,Percent change,,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2021 Base year: 2005. Applies to export and import deflators. Data from the authorities are based on year 2011/12 Methodology used to derive volumes: Deflation by survey-based price indexes Formula used to derive volumes: Laspeyres-type Chain-weighted: Yes, from before 1980. Annually-reweighted Trade System: General trade. General Merchandise Trade Excluded items in trade: No items are excluded Oil coverage: Primary or unrefined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Australian dollar Data last updated: 09/2023",4.997,10.042,5.46,-9.819,22.058,3.79,-3.149,2.516,21,21.163,-4.211,-2.241,6.706,5.136,14.59,8.748,7.454,10.837,7.295,8.366,8.006,-5.054,11.035,11.356,15.202,9.638,8.672,12.879,10.745,-8.838,16.168,10.532,6.176,-2.281,-1.4,2.259,0.123,7.81,4.268,-1.06,-12.843,2021
Austria,Volume of imports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2021 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: Yes, from 1988 Trade System: Other Excluded items in trade: Other; Oil coverage: Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 09/2023",6.17,-0.771,-4.667,5.691,10.05,6.156,-2.911,5.447,10.4,10.158,7.98,5.114,2.116,-5.489,10.332,5.905,8.642,7.27,5.758,4.064,10.186,5.192,0.291,3.507,7.975,5.455,5.855,5.635,0.954,-11.899,11.97,5.954,0.924,0.694,2.957,3.63,3.726,5.289,5.348,2.087,-9.229,2021
Azerbaijan,Volume of imports of goods and services,Percent change,,"Source: National Statistics Office Latest actual data: 2022 Base year: 2016 Methodology used to derive volumes: Deflation by survey-based price indexes Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Excluded items in trade: In transit; Re-exports; Re-imports; Oil coverage: Primary or unrefined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Azerbaijan manat Data last updated: 09/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-40.893,-24,6.482,31.892,56.842,-1.493,-43.225,5.536,8.895,34.227,25.078,-3.579,-1.301,21.044,6.825,2.859,-3.851,-8.123,31.241,12.697,13.897,6.883,11.816,14.548,-2.219,-2.824,-0.03,-9.256,2022
The Bahamas,Volume of imports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2022 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Re-exports;. In Trade we excluded imports and re-exports of bunker fuel for aviation, but included it in the BOP. Oil coverage: Primary or unrefined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Bahamian dollar Data last updated: 09/2023",1.038,1.013,5.719,8.564,4.289,19.553,8.2,-3.267,-0.176,5.178,-6.406,0.208,-3.126,-24.801,5.814,35.683,1.282,30.767,17.669,-13.397,14.275,-8.448,-19.868,-7.373,-7.3,43.585,-2.036,15.516,12.902,-7.339,-9.956,-0.827,18.813,-0.421,11.38,-1.849,8.691,2.292,-2.789,-3.033,-22.336,2022
Bahrain,Volume of imports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2022 Base year: 2011 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Bahrain dinar Data last updated: 09/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.489,-13.046,-11.42,0.554,10.636,-6.386,11.294,1.843,14.587,11.34,0.549,-5.177,19.231,-25.128,5.06,-2.142,27.701,3.098,-7.387,-5.669,-3.153,7.602,5.724,-5.568,-0.702,2022
Bangladesh,Volume of imports of goods and services,Percent change,,"Source: Central Bank Latest actual data: FY2021/22 Base year: FY1990/91 Methodology used to derive volumes: Other Formula used to derive volumes: Not applicable Chain-weighted: No Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Bangladesh taka Data last updated: 09/2023",24.832,16.823,4.138,-3.273,0.032,1.466,-0.997,3.88,15.23,17.6,4.772,-3.562,4.62,10.375,15.154,18.633,7.527,1.729,13.952,-5.979,6.271,16.853,-8.962,8.851,3.596,10.631,8.614,11.427,17.025,9.697,0.802,39.851,-0.703,4.27,12.05,8.699,12.027,6.609,19.506,4.753,-2.724,2022
Barbados,Volume of imports of goods and services,Percent change,,"Source: Central Bank. Exports rise in 2011 due to merchandising being included in the BOP accounts that year. Latest actual data: 2022 Base year: 2005 Methodology used to derive volumes: WEO deflators Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: None Oil coverage: Primary or unrefined products; Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Barbados dollar Data last updated: 09/2023",10.946,12.376,0.426,11.763,8.577,-6.507,0.705,-15.004,5.377,15.818,-1.486,31.596,-43.556,14.214,10.841,16.023,1.065,20.953,10.275,2.213,-6.514,0.565,-0.538,2.185,9.643,3.737,-2.703,-3.402,-6.22,-9.577,-2.166,-10.575,-4.278,0.699,1.062,14.93,5.936,-5.939,-6.866,5.179,-11.043,2022
Belarus,Volume of imports of goods and services,Percent change,,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2022 Notes: Belarus purchases crude oil from Russia at a discounted world market price. Due to internal tax changes in Russia, this discount is projected to gradually fall to zero by the end of 2024. Current WEO projections for Belarus are based on information provided by the authorities on a bilateral oil price deal with Russia that is being negotiated, but is not yet formally signed. The dynamics of the imported oil price deflator is set by world prices as well as by the discount, so it does not follow world prices. Deflator of oil exports reflects (i) crude oil and (ii) oil products. Oil products are priced differently from crude oil. The historical values are taken from the authorities' data. Projections should broadly match WEO's numbers in terms of percentage changes. Base year: 2009 Methodology used to derive volumes: Cost index divided by Fisher price index. Formula used to derive volumes: Fisher Chain-weighted: No. Last update of weights was 2008. Trade System: General trade Excluded items in trade: In transit; Other;. Excluded items include transit goods and goods from U.N. methodology. Oil coverage: Primary or unrefined products; Secondary or refined products; Other; Valuation of exports: Delivered At Frontier (DAF) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Belarusian ruble Data last updated: 09/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.006,-37.277,34.887,30.741,43.435,-11.841,7.407,28.073,2.315,13.854,13.444,21.568,0.59,22.039,7.612,14.47,-13.132,9.366,15.054,9.434,-6.096,2.086,-12.048,-2.511,12.011,5.284,5.279,-8.953,2022
Belgium,Volume of imports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2022 Base year: 2010 Methodology used to derive volumes: Weighted average of volume changes Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Euro Data last updated: 09/2023",-1.5,-1.734,1.872,-0.968,6.161,0.553,3.899,6.837,10.74,10.041,4.837,2.807,3.146,0.54,7.353,9.572,4.221,8.908,5.561,2.681,12.157,1.409,7.384,0.506,6.923,4.957,5.263,5.6,-2.075,-12.226,7.089,4.947,-1.364,0.735,1.964,0.959,5.358,-0.087,1.354,-0.414,-6.973,2022
Belize,Volume of imports of goods and services,Percent change,,"Source: Customs Authority Latest actual data: 2022 Base year: 2005 Methodology used to derive volumes: Deflation by survey-based price indexes Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Belize dollar Data last updated: 09/2023",0.003,0,--,0,0,--,--,--,--,--,--,--,0,4.868,-8.56,-3.519,-1.743,15.762,6.844,18.905,21.896,0.591,5.717,1.272,-8.257,8.535,-0.247,2.352,12.586,-17.079,2.828,11.449,7.074,6.824,6.507,7.783,-0.665,-4.525,2.423,2.853,-23,2022
Benin,Volume of imports of goods and services,Percent change,,Source: Central Bank Latest actual data: 2021 Base year: 2005 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Other Primary domestic currency: CFA franc Data last updated: 08/2023,-23.242,4.671,2.678,-2,0.4,--,26.724,14.14,-2.829,-42.341,86.373,7.706,46.589,-9.493,-46.044,112.65,4.947,3.93,8.591,21.751,-9.864,6.162,24.462,27.612,0.053,-11.964,10.786,42.837,1.062,9.403,-13.61,-12.322,6.882,34.791,26.826,-5.318,10.664,3.903,12.456,-8.413,0.125,2021
Bhutan,Volume of imports of goods and services,Percent change,,Source: Central Bank Latest actual data: FY2021/22 Base year: FY2005/06 Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Free on board (FOB) Primary domestic currency: Bhutanese ngultrum Data last updated: 09/2023,21.258,21.614,6.003,2.658,5.228,-24.039,22.11,-4.87,-0.691,5.091,-34.132,0.32,-38.605,39.092,-32.71,1.457,9.964,15.277,30.857,8.568,-10.145,1.263,12.406,12.516,6.556,48.742,-14.183,9.603,16.748,-8.223,24.963,19.292,-10.517,-12.535,-13.009,3.999,-3.876,-3.745,5.102,-7.64,-11.626,2022
Bolivia,Volume of imports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2022 Base year: 2005 Methodology used to derive volumes: Weighted average of volume changes Formula used to derive volumes: Other Chain-weighted: Yes, from 2006 Trade System: General trade Excluded items in trade: Re-exports; Oil coverage: Primary or unrefined products; Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Bolivian boliviano Data last updated: 09/2023",-29.331,8.216,-25.206,-13.157,24.238,20.773,8.944,7.734,-0.176,0.322,10.243,12.589,9.924,-0.728,-0.645,8.92,7.94,13.539,0,-10.65,6.143,-7.085,10.405,-0.638,11.534,11.764,13.377,18.098,20.168,-5.528,8.836,27.017,8.536,15.81,11.773,4.424,-7.674,4.85,1.53,0.153,-26.705,2022
Bosnia and Herzegovina,Volume of imports of goods and services,Percent change,,"Source: National Statistics Office Latest actual data: 2022 Base year: 2010 Methodology used to derive volumes: Projections based on WEO assumptions for prices of main traded commodities and export deflators of main trading partners. Adjustments made based on analysis of demand-side decomposition of real GDP growth, informed by high frequency economic indicators. Formula used to derive volumes: Fisher Chain-weighted: No Trade System: Special trade Excluded items in trade: In transit; Re-exports; Re-imports; Oil coverage: Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Bosnian convertible marka Data last updated: 09/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10.999,-7.721,10.089,4.736,8.933,1.983,0.321,2.353,0.698,10.04,-14.429,2.032,3.185,0.396,0.117,7.583,1.671,7.257,8.156,3.374,1.355,-13.127,2022
Botswana,Volume of imports of goods and services,Percent change,,"Source: National Statistics Office Latest actual data: 2021 Base year: 2000 Methodology used to derive volumes: Deflation by survey-based price indexes Formula used to derive volumes: Fisher Chain-weighted: No Trade System: General trade Excluded items in trade: None Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Botswana pula Data last updated: 09/2023",16.019,9.385,-14.564,10.901,3.303,-12.499,49.154,13.874,19.873,26.521,-6.939,-7.277,-10.282,-10.981,-10.115,-2.8,-6.282,31.763,15.217,-5.305,-1.909,-1.592,2.063,-7.264,17.706,-5.006,-1.371,32.404,39.685,-8.574,11.02,11.107,25.259,14.308,-1.32,5.836,-20.922,-12.949,15.917,11.572,4.952,2021
Brazil,Volume of imports of goods and services,Percent change,,Source: Central Bank Latest actual data: 2022 Base year: 2018 Methodology used to derive volumes: Deflation by survey-based price indexes Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Free on board (FOB) Primary domestic currency: Brazilian real Data last updated: 09/2023,16.475,-2.592,-3.237,-19.213,-10.404,-1.672,2.492,-3.209,-3.342,19.965,9.298,0.46,-4,27.209,23.286,32.924,6.965,22.22,3.806,-15.942,14.735,3.027,-11.773,-2.674,13.783,9.31,14.823,23.092,14.845,-11.875,37.167,7.313,0.513,7.518,0.058,-12.793,-8.721,7.79,7.332,4.531,-8.173,2022
Brunei Darussalam,Volume of imports of goods and services,Percent change,,"Source: Ministry of Finance or Treasury. Department of Economic Planning and Statistics Latest actual data: 2022 Methodology used to derive volumes: Need to check with authorities. Formula used to derive volumes: Need to check with authorities. Chain-weighted: No Trade System: General trade Excluded items in trade: In transit; Re-imports; Other; Oil coverage: Primary or unrefined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Brunei dollar Data last updated: 09/2023",n/a,n/a,-33.059,1.909,-8.971,-23.503,12.548,-14.923,11.516,26.517,24.82,13.324,34.779,6.033,-6.888,28.081,17.287,-1.52,-22.984,-4.293,-1.634,-0.704,12.893,-5.247,6.144,5.017,8.937,19.318,30.622,-12.753,3.757,45.065,21.095,14.575,-23.858,-16.099,-11.258,1.371,30.974,12.457,-2.952,2022
Bulgaria,Volume of imports of goods and services,Percent change,,"Source: National Statistics Office Latest actual data: 2022 Base year: 2005 Methodology used to derive volumes: Methodology used by authorities Formula used to derive volumes: formula used by authorities Chain-weighted: Yes, from 2005 Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Bulgarian lev Data last updated: 09/2023",-13.199,28.437,-10.689,6.322,19.811,3.773,-30.797,21.713,75.479,-0.171,-66.872,-24.522,40.065,25.741,-3.2,21,-11.4,-0.7,11.7,6.8,10.644,12.562,6.291,15.151,26.243,14.348,15.915,22.616,4.864,-21.508,-0.273,9.631,5.369,4.336,5.14,4.698,5.151,7.356,5.763,5.22,-4.933,2022
Burkina Faso,Volume of imports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2021 Base year: 1999 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Other; Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: CFA franc Data last updated: 09/2023",n/a,-2.934,5.953,-12.961,-11.068,26.081,19.984,0.825,-0.426,-15.355,11.709,1.703,-12.13,7.908,-29.191,15.578,7.495,-1.99,28.513,-15.68,-12.36,2.304,7.666,24.521,-5.831,2.687,3.034,14.221,10.57,-2.44,13.986,10.532,13.171,13.528,-6.417,8.45,2.235,13.012,3.512,-2.652,-2.323,2021
Burundi,Volume of imports of goods and services,Percent change,,"Source: Central Bank. Some data are staff estimates Latest actual data: 2022 Base year: 2000 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Burundi franc Data last updated: 09/2023",-7.161,0.139,29.925,7.209,3.21,-5.1,6.471,-14.224,0.499,-11.097,17.633,-29.868,-1.312,-11.584,20.846,1.605,-39.12,-18.903,45.51,-4.627,4.135,5.949,13.796,20.886,24.094,57.96,13.298,42.299,-17.997,-7.423,66.795,-17.772,8.204,2.446,-5.49,-29.36,10.288,10.92,14.698,45.588,-17.818,2022
Cabo Verde,Volume of imports of goods and services,Percent change,,"Source: National Statistics Office Latest actual data: 2021 Base year: 2005 Methodology used to derive volumes: Other Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cabo Verdean escudo Data last updated: 09/2023",10.631,3,-7.8,0,1.5,-2.5,-4.5,-7.5,3.8,26.5,-8.2,-4.3,8.6,2.6,22.7,17.1,-6.6,12.269,10.949,21.133,-6.664,13.172,23.366,21.825,13.082,-5.073,22.092,22.468,11.768,-9.814,0.462,12.967,-13.074,-2.527,10.426,-22.581,19.348,13.873,5.595,1.37,-17.489,2021
Cambodia,Volume of imports of goods and services,Percent change,,"Source: National Statistics Office Latest actual data: 2022 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17.38,9.567,50.806,34.147,8.044,16.44,12.623,5.132,6.068,5.2,10.719,-10.192,-8.188,11.207,5.471,15.431,11.038,18.462,14.809,21.527,13.595,6.843,13.664,18.019,-3.401,2022
Cameroon,Volume of imports of goods and services,Percent change,,"Source: National Statistics Office Latest actual data: 2022 Base year: 2000 Methodology used to derive volumes: Weighted average of volume changes Formula used to derive volumes: Other Chain-weighted: No. annually Trade System: General trade Excluded items in trade: In transit; Oil coverage: Primary or unrefined products;. Cameroon is an exporter of crude oil. The refinery capacity has not been recovered after the fire, as of January 2023. Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: CFA franc Data last updated: 09/2023",9.657,19.719,22.937,10.09,-6.409,--,5.575,-9.705,-18.206,-4.637,4.453,-0.245,-8.784,-5.915,2.885,-2.346,10.215,16.728,9.3,-0.2,6.694,12.368,0.69,-1.377,3.69,5.78,3.317,18.242,11.525,-12.502,-3.021,9.142,4.507,8.426,10.312,2.895,-0.746,1.186,2.055,22.782,-15.623,2022
Canada,Volume of imports of goods and services,Percent change,,"Source: National Statistics Office Latest actual data: 2022 Base year: 2014 Methodology used to derive volumes: Other Formula used to derive volumes: Fisher Chain-weighted: Yes, from 1997 Trade System: General trade Excluded items in trade: Re-exports; Re-imports; Oil coverage: Primary or unrefined products; Secondary or refined products;. Refers to energy exports (crude oil, natural gas, coal, and other) Valuation of exports: Free on board (FOB). Total energy is used for the oil export deflator Valuation of imports: Cost, insurance, freight (CIF). Total energy is used for the oil import deflator Primary domestic currency: Canadian dollar Data last updated: 09/2023",-3.171,2.554,-15.922,10.128,17.384,8.267,6.548,5.44,13.493,5.825,1.927,2.517,5.125,7.478,8.319,5.764,5.359,14.4,5.276,8.062,8.447,-4.865,1.867,4.208,8.506,7.349,5.321,5.775,0.895,-12.395,13.788,5.594,3.709,2.077,2.531,0.751,0.051,4.627,3.309,0.353,-9.331,2022
Central African Republic,Volume of imports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2021 Base year: 2000 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Re-exports; Re-imports; Oil coverage: Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: CFA franc Data last updated: 08/2023",40.979,0.744,9.786,-1.229,-5.491,21.665,-6.475,282.627,-2.794,7.157,3.618,-16.319,-0.244,-4.04,33.454,6.825,-19.603,26.373,6.755,-7.397,0.272,-5.708,-15.579,-23.178,7.789,0.647,-0.21,8.734,-1.534,9.684,13.476,-14.805,8.766,-29.195,84,23.854,12.075,-2.336,0.513,7.846,4.492,2021
Chad,Volume of imports of goods and services,Percent change,,Source: Central Bank Latest actual data: 2021 Base year: 2000 Methodology used to derive volumes: Export volumes estimated directly. Import volume estimated by deflating values by partner non-oil export price index. Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Valuation of exports: Free on board (FOB) Valuation of imports: Other Primary domestic currency: CFA franc Data last updated: 08/2023,--,-5.104,9.004,6.549,42.477,18.659,-13.555,-6.968,-4.979,0.127,-3.686,-3.083,-15.751,10.103,6.077,32.728,-12.098,11.859,2.771,8.11,3.11,80.288,163.557,-31.945,50.816,7.231,40.678,-4.445,12.489,3.939,17.082,7.995,-0.893,-2.229,9.377,-21.332,-10.403,5.265,8.254,4.829,-2.357,2021
Chile,Volume of imports of goods and services,Percent change,,"Source: Central Bank Latest actual data: 2022 Base year: 2013. Seasonally adjusted X and M data, therefore, base year is not equal to 100. Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade. The Free Zones are included as part of Chile¥s economic territory. This means that customs declarations, which are compiled according to the Special Trade System, are adjusted, so that goods are registered as imports when they enter the Free Zones. Re-exports from the Free Zones are recorded as exports. Excluded items in trade: (According to BPM5, goods in direct transit are excluded. ) Valuation of exports: Free on board (FOB). Customs value of some big-scale exports is adjusted to better reflect market prices. Estimates of prices are made to adjust preliminary customs export data on goods sold on consignment or by other mechanisms according to which definite values are unknown at the time of shipment. Valuation of imports: Free on board (FOB) Primary domestic currency: Chilean peso Data last updated: 08/2023",18.724,13.269,-33.994,-17.671,12.002,-9.462,7.904,18.61,12.793,25.038,5.8,7.129,21.812,13.97,10.15,25.158,11.867,14.626,6.877,-9.894,10.569,4.997,1.838,7.873,19.506,18.37,12.536,13.754,10.858,-17.701,25.243,15.839,3.816,1.739,-6.58,-0.866,1.168,4.464,8.602,-1.725,-12.329,2022
China,Volume of imports of goods and services,Percent change,,"Source: Customs Authority. General Administration of Customs (data retrieved from CEIC) Latest actual data: 2022 Base year: 2005 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Derived from value index and unit value index Chain-weighted: No Oil coverage: Primary or unrefined products; Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Chinese yuan Data last updated: 09/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.412,14.39,26.418,14.329,22.375,32.655,20.739,13.385,17.693,14.901,7.545,3.117,23.094,13.422,6.591,10.647,7.774,-0.438,4.387,7.315,7.259,-2.904,-0.975,2022
